filename,Sale Price,TermRemaining,TracksIncluded,Fees,NumberOfBids,NumberOfBiddersForIDBefore2783,HighestBidLowestBid,HasLastTransaction,Income_Type_STREAMING MECHANICAL,Income_Type_STREAMINGP ERFORMANCE,Income_Type_STREAMINGS YNCHRONIZATION,Income_Type_MECHANICAL,Income_Type_PERFORMANCE,Income_Type_OTHER,Income_Type_SOUNDRECORDING,Income_Type_SYNCHRONIZATION,Income_Type_DOWNLOAD MECHANICAL,Income_Type_PRINT,Income_Type_DOWNLOAD PERFORMANCE,Income_Type_MECHANICAL PERFORMANCE,Income_Type_PROFIT PARTICIPATION,Income_Type_RADIO,Last12Months,EarningsSinceStart,3YearAverage,DollarAge,CopyrightsIncluded_Yes,Type_xroyaltyType_MusicalCompositionSoundRecording,Type_xroyaltyType_SoundRecording,Rights_Public_Performance,Rights_Sync,Distributor_universal,Distributor_bmi,Distributor_ascap,Distributor_sony,Distributor_warner,Source_cd_sales,Source tv_film,Source_ satellite_radio,Source_internet_streaming
219.json,110000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.json,41000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.json,25000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.json,23000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.json,123000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252.json,10000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260.json,80000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261.json,28500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266.json,17500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267.json,110000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277.json,175000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279.json,206000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280.json,4050.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283.json,22500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289.json,76000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290.json,122500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291.json,9300.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292.json,900000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293.json,39500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295.json,50000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296.json,21500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299.json,200000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.json,21000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.json,13200.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302.json,13750.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303.json,17750.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304.json,57000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307.json,33000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308.json,71000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310.json,41000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311.json,50500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312.json,12000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313.json,90000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314.json,35000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315.json,15750.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316.json,112500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317.json,18000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.json,19000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321.json,73000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322.json,6050.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325.json,27000.0,,,$500 or $49/year*,29,1,15000.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329.json,115000.0,"Varies by Photography, see ""Documents"" tab",,$49/year,19,1,40000.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330.json,17750.0,Life of author + 70 years,,$500 or $49/year*,42,1,12750.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334.json,16250.0,Life of author + 70 years,,$500 or $49/year*,39,1,9500.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335.json,45000.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,13,1,18000.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336.json,20000.0,Life of author + 70 years,,$500 or $49/year*,15,1,12000.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337.json,48000.0,Life of author + 70 years,,$500 or $49/year*,1,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338.json,53000.0,Life of author + 70 years,,,27,1,25000.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340.json,47000.0,Life of the author + 70 years,,$75 ASCAP Assignment Fee,17,1,17000.0,1,,,,,,,,,,,,,,,7952.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342.json,77500.0,"Varies by Photography, see Documents tab",,$49/year,8,1,17500.0,1,,,,,,,,,,,,,,,15236.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344.json,72500.0,Life of author + 70 years,,,15,1,37500.0,1,,,,,,,,,,,,,,,19386.55,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345.json,13500.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,7,1,1500.0,1,,,,,,,,,,,,,,,2336.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346.json,32500.0,Life of author + 70 years,,,2,1,2500.0,1,,,,,,,,,,,,,,,7549.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347.json,21250.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,55,1,13750.0,1,,,,,,,,,,,,,,,3597.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348.json,47500.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,13,1,27500.0,1,,,,,,,,,,,,,,,7500.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349.json,16750.0,Life of the author + 70 years,,$75 ASCAP Assignment Fee,27,1,9750.0,1,,,,,,,,,,,,,,,2309.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
